offspring,dam,sire
WCR2019_0646,WCR2019_0267,WCR2019_0494
WCR2019_0648,NA,WCR2019_0103
WCR2019_0649,NA,WCR2019_0088
WCR2019_0650,NA,WCR2019_0088
WCR2019_0654,NA,NA
WCR2019_0662,NA,NA
WCR2019_0664,WCR2019_0532,NA
WCR2019_0665,NA,NA
WCR2019_0666,WCR2019_0565,WCR2019_0216
WCR2019_0669,NA,WCR2019_0216
WCR2019_0670,WCR2019_0076,NA
WCR2019_0677,NA,NA
WCR2019_0682,NA,NA
WCR2019_0686,NA,NA
WCR2019_0693,NA,WCR2019_0122
WCR2019_0698,WCR2019_0337,WCR2019_0405
WCR2019_0702,WCR2019_0318,WCR2019_0088
WCR2019_0709,NA,NA
WCR2019_0717,NA,NA
WCR2019_0719,WCR2019_0194,NA
WCR2019_0722,WCR2019_0361,WCR2019_0047
WCR2019_0725,NA,WCR2019_0461
WCR2019_0728,NA,WCR2019_0516
WCR2019_0731,NA,NA
WCR2019_0735,WCR2019_0337,WCR2019_0405
WCR2019_0736,NA,NA
WCR2019_0738,NA,WCR2019_0088
WCR2019_0744,NA,WCR2019_0122
WCR2019_0786,NA,WCR2019_0216
WCR2019_0787,NA,WCR2019_0461
WCR2019_0789,WCR2019_0421,WCR2019_0548
WCR2019_0791,NA,WCR2019_0150
WCR2019_0795,NA,WCR2019_0216
WCR2019_0801,WCR2019_0420,WCR2019_0405
WCR2019_0802,WCR2019_0479,WCR2019_0398
WCR2019_0803,WCR2019_0420,WCR2019_0325
WCR2019_0804,NA,NA
WCR2019_0805,WCR2019_0337,WCR2019_0405
WCR2019_0811,NA,NA
WCR2019_0818,NA,NA
WCR2019_0820,WCR2019_0474,WCR2019_0047
WCR2019_0827,WCR2019_0474,WCR2019_0516
WCR2019_0832,WCR2019_0524,WCR2019_0451
WCR2019_0836,NA,NA
WCR2019_0839,NA,NA
WCR2019_0840,NA,WCR2019_0279
WCR2019_0841,NA,WCR2019_0461
WCR2019_0845,NA,NA
WCR2019_0847,NA,WCR2019_0461
WCR2019_0848,NA,WCR2019_0088
WCR2019_0849,NA,WCR2019_0014
WCR2019_0856,NA,NA
WCR2019_0860,NA,NA
WCR2019_0866,NA,WCR2019_0359
WCR2019_0868,NA,NA
WCR2019_0870,NA,WCR2019_0461
WCR2019_0873,NA,WCR2019_0088
WCR2019_0874,WCR2019_0064,WCR2019_0451
WCR2019_0876,WCR2019_0324,WCR2019_0161
WCR2019_0878,NA,NA
WCR2019_0880,WCR2019_0337,WCR2019_0405
WCR2019_0882,WCR2019_0337,WCR2019_0405
WCR2019_0932,NA,WCR2019_0475
WCR2019_0936,WCR2019_0420,WCR2019_0405
WCR2019_0937,WCR2019_0409,WCR2019_0039
WCR2019_0938,WCR2019_0479,WCR2019_0088
WCR2019_0941,NA,WCR2019_0047
WCR2019_0944,NA,WCR2019_0461
WCR2019_0945,NA,WCR2019_0445
WCR2019_0948,NA,NA
WCR2019_0950,NA,NA
WCR2019_0953,NA,WCR2019_0150
WCR2019_0954,NA,WCR2019_0088
WCR2019_0955,NA,NA
WCR2019_0956,NA,WCR2019_0475
WCR2019_0957,NA,NA
WCR2019_0959,NA,NA
WCR2019_0964,NA,WCR2019_0258
WCR2019_0967,NA,WCR2019_0088
WCR2019_0969,WCR2019_0496,WCR2019_0161
WCR2019_0970,NA,NA
WCR2019_0973,WCR2019_0390,WCR2019_0213
WCR2019_0974,NA,WCR2019_0279
WCR2019_0977,WCR2019_0324,WCR2019_0258
WCR2019_0978,NA,WCR2019_0539
WCR2019_0980,WCR2019_0474,WCR2019_0516
WCR2019_0982,WCR2019_0421,WCR2019_0388
WCR2019_0984,WCR2019_0280,WCR2019_0537
WCR2019_0985,WCR2019_0421,WCR2019_0258
WCR2019_0987,NA,WCR2019_0327
WCR2019_0988,NA,NA
WCR2019_0989,NA,NA
WCR2019_0991,NA,NA
WCR2019_0997,NA,NA
WCR2019_1000,NA,WCR2019_0461
WCR2019_1001,NA,NA
WCR2019_1003,NA,WCR2019_0516
WCR2019_1005,NA,NA
WCR2019_1008,WCR2019_0223,WCR2019_0088
WCR2019_1012,NA,WCR2019_0088
WCR2019_1013,NA,WCR2019_0327
WCR2019_1014,WCR2019_0420,WCR2019_0325
WCR2019_1017,WCR2019_0252,WCR2019_0088
WCR2019_1019,NA,NA
WCR2019_1020,WCR2019_0212,WCR2019_0206
WCR2019_1021,WCR2019_0064,WCR2019_0088
WCR2019_1022,WCR2019_0252,WCR2019_0088
WCR2019_1024,WCR2019_0536,WCR2019_0463
WCR2019_1026,WCR2019_0064,WCR2019_0039
WCR2019_1028,WCR2019_0420,WCR2019_0325
WCR2019_1076,NA,NA
WCR2019_1078,WCR2019_0420,WCR2019_0405
WCR2019_1082,NA,NA
WCR2019_1083,NA,NA
WCR2019_1084,NA,WCR2019_0088
WCR2019_1087,WCR2019_0420,WCR2019_0405
WCR2019_1091,NA,WCR2019_0150
WCR2019_1092,NA,WCR2019_0313
WCR2019_1095,WCR2019_0252,WCR2019_0405
WCR2019_1099,WCR2019_0119,WCR2019_0405
WCR2019_1100,NA,WCR2019_0122
WCR2019_1101,NA,NA
WCR2019_1102,WCR2019_0334,WCR2019_0405
WCR2019_1104,WCR2019_0421,WCR2019_0388
WCR2019_1105,NA,WCR2019_0216
WCR2019_1106,NA,NA
WCR2019_1107,NA,NA
WCR2019_1109,WCR2019_0579,WCR2019_0405
WCR2019_1110,WCR2019_0536,WCR2019_0463
WCR2019_1111,WCR2019_0420,WCR2019_0325
WCR2019_1118,NA,NA
WCR2019_1119,WCR2019_0532,NA
WCR2019_1122,WCR2019_0536,WCR2019_0463
WCR2019_1127,WCR2019_0256,WCR2019_0088
WCR2019_1128,WCR2019_0594,WCR2019_0206
WCR2019_1129,NA,NA
WCR2019_1130,NA,WCR2019_0088
WCR2019_1132,NA,NA
WCR2019_1137,NA,WCR2019_0122
WCR2019_1138,WCR2019_0421,WCR2019_0258
WCR2019_1144,NA,WCR2019_0047
WCR2019_1146,WCR2019_0524,WCR2019_0451
WCR2019_1147,NA,NA
WCR2019_1151,NA,WCR2019_0359
WCR2019_1153,NA,WCR2019_0150
WCR2019_1154,NA,NA
WCR2019_1156,NA,NA
WCR2019_1158,NA,WCR2019_0088
WCR2019_1159,WCR2019_0420,WCR2019_0325
WCR2019_1160,NA,WCR2019_0327
WCR2019_1161,NA,NA
WCR2019_1162,NA,NA
WCR2019_1163,WCR2019_0579,WCR2019_0518
WCR2019_1168,WCR2019_0223,WCR2019_0088
WCR2019_1171,WCR2019_0420,WCR2019_0325
WCR2019_1174,WCR2019_0119,WCR2019_0405
WCR2019_1326,NA,NA
WCR2019_1327,WCR2019_0223,NA
WCR2019_1328,NA,NA
WCR2019_1329,NA,NA
WCR2019_1330,NA,NA
WCR2019_1332,NA,WCR2019_0088
WCR2019_1333,NA,NA
WCR2019_1335,NA,NA
WCR2019_1339,WCR2019_0420,WCR2019_0325
WCR2019_1340,WCR2019_0536,WCR2019_0463
WCR2019_1343,NA,NA
WCR2019_1344,NA,NA
WCR2019_1345,WCR2019_0474,WCR2019_0516
WCR2019_1347,NA,WCR2019_0088
WCR2019_1348,WCR2019_0420,WCR2019_0325
WCR2019_1351,WCR2019_0479,WCR2019_0405
WCR2019_1352,NA,NA
WCR2019_1353,NA,WCR2019_0088
WCR2019_1356,WCR2019_0534,WCR2019_0066
WCR2019_1358,WCR2019_0427,NA
WCR2019_1360,WCR2019_0440,WCR2019_0122
WCR2019_1363,NA,NA
WCR2019_1365,NA,WCR2019_0088
WCR2019_1370,WCR2019_0534,WCR2019_0447
WCR2019_1372,NA,WCR2019_0299
WCR2019_1373,WCR2019_0267,WCR2019_0122
WCR2019_1375,NA,WCR2019_0088
WCR2019_1377,NA,WCR2019_0327
WCR2019_1378,WCR2019_0421,WCR2019_0258
WCR2019_1379,NA,NA
WCR2019_1381,NA,WCR2019_0088
WCR2019_1383,WCR2019_0252,WCR2019_0405
WCR2019_1384,NA,NA
WCR2019_1385,NA,WCR2019_0602
WCR2019_1389,NA,WCR2019_0088
WCR2019_1392,NA,NA
WCR2019_1395,NA,NA
WCR2019_1397,WCR2019_0496,WCR2019_0088
WCR2019_1398,WCR2019_0522,WCR2019_0537
WCR2019_1399,WCR2019_0334,WCR2019_0157
WCR2019_1401,NA,NA
WCR2019_1402,WCR2019_0440,WCR2019_0122
WCR2019_1405,NA,NA
WCR2019_1406,NA,NA
WCR2019_1411,NA,NA
WCR2019_1414,WCR2019_0223,WCR2019_0327
WCR2019_1416,NA,NA
WCR2019_1418,NA,WCR2019_0088
WCR2019_1419,WCR2019_0318,NA
WCR2019_1421,NA,NA
WCR2019_1423,NA,WCR2019_0327
WCR2019_1424,NA,NA
WCR2019_1425,NA,WCR2019_0066
WCR2019_1478,NA,NA
WCR2019_1479,WCR2019_0474,WCR2019_0327
WCR2019_1480,NA,NA
WCR2019_1484,NA,NA
WCR2019_1485,NA,WCR2019_0161
WCR2019_1490,WCR2019_0223,WCR2019_0088
WCR2019_1492,NA,WCR2019_0088
WCR2019_1500,NA,WCR2019_0088
WCR2019_1502,WCR2019_0579,WCR2019_0405
WCR2019_1504,WCR2019_0361,WCR2019_0327
WCR2019_1506,WCR2019_0252,WCR2019_0405
WCR2019_1507,WCR2019_0489,WCR2019_0516
WCR2019_1508,WCR2019_0119,WCR2019_0405
WCR2019_1509,WCR2019_0252,WCR2019_0388
WCR2019_1512,WCR2019_0536,WCR2019_0463
WCR2019_1513,WCR2019_0223,NA
WCR2019_1518,WCR2019_0534,WCR2019_0066
WCR2019_1519,NA,NA
WCR2019_1523,WCR2019_0252,WCR2019_0405
WCR2019_1524,NA,WCR2019_0206
WCR2019_1526,NA,NA
WCR2019_1531,WCR2019_0280,WCR2019_0286
WCR2019_1535,NA,NA
WCR2019_1536,NA,WCR2019_0088
WCR2019_1539,NA,NA
WCR2019_1540,WCR2019_0534,WCR2019_0519
WCR2019_1545,WCR2019_0334,WCR2019_0405
WCR2019_1546,WCR2019_0530,WCR2019_0405
WCR2019_1549,NA,NA
WCR2019_1551,WCR2019_0334,WCR2019_0258
WCR2019_1558,WCR2019_0369,NA
WCR2019_1560,WCR2019_0579,WCR2019_0405
WCR2019_1562,WCR2019_0344,WCR2019_0313
WCR2019_1564,NA,NA
WCR2019_1565,WCR2019_0333,WCR2019_0537
WCR2019_1566,WCR2019_0334,WCR2019_0405
WCR2019_1568,WCR2019_0256,WCR2019_0047
WCR2019_1569,NA,NA
WCR2019_1570,WCR2019_0536,WCR2019_0463
WCR2019_1571,NA,WCR2019_0243
WCR2019_1573,NA,NA
WCR2019_1574,NA,NA
WCR2019_1575,NA,NA
WCR2019_1634,WCR2019_0420,WCR2019_0325
WCR2019_1635,NA,WCR2019_0327
WCR2019_1636,NA,WCR2019_0088
WCR2019_1638,NA,WCR2019_0122
WCR2019_1639,NA,WCR2019_0088
WCR2019_1640,NA,WCR2019_0088
WCR2019_1641,WCR2019_0420,WCR2019_0325
WCR2019_1642,NA,WCR2019_0327
WCR2019_1645,WCR2019_0252,WCR2019_0405
WCR2019_1646,NA,NA
WCR2019_1648,NA,NA
WCR2019_1649,NA,NA
WCR2019_1650,WCR2019_0334,WCR2019_0519
WCR2019_1652,WCR2019_0567,WCR2019_0066
WCR2019_1654,NA,WCR2019_0088
WCR2019_1655,WCR2019_0357,NA
WCR2019_1656,NA,WCR2019_0327
WCR2019_1658,NA,WCR2019_0407
WCR2019_1660,WCR2019_0428,NA
WCR2019_1662,NA,NA
WCR2019_1663,WCR2019_0252,WCR2019_0157
WCR2019_1664,NA,NA
WCR2019_1665,NA,NA
WCR2019_1666,NA,NA
WCR2019_1668,NA,WCR2019_0122
WCR2019_1669,NA,WCR2019_0327
WCR2019_1670,NA,NA
WCR2019_1672,NA,NA
WCR2019_1674,NA,NA
WCR2019_1676,NA,WCR2019_0023
WCR2019_1677,NA,WCR2019_0198
WCR2019_1678,NA,NA
WCR2019_1679,NA,NA
WCR2019_1681,NA,WCR2019_0239
WCR2019_1684,WCR2019_0530,WCR2019_0405
WCR2019_1687,NA,NA
WCR2019_1688,NA,NA
WCR2019_1689,NA,WCR2019_0088
WCR2019_1690,NA,NA
WCR2019_1744,WCR2019_0474,WCR2019_0451
WCR2019_1745,WCR2019_0479,WCR2019_0405
WCR2019_1746,NA,NA
WCR2019_1748,NA,NA
WCR2019_1749,NA,NA
WCR2019_1750,WCR2019_0493,NA
WCR2019_1751,NA,NA
WCR2019_1752,WCR2019_0420,WCR2019_0325
WCR2019_1753,NA,NA
WCR2019_1754,WCR2019_0467,WCR2019_0039
WCR2019_1756,NA,NA
WCR2019_1757,NA,NA
WCR2019_1758,WCR2019_0252,WCR2019_0405
WCR2019_1759,NA,NA
WCR2019_1760,NA,WCR2019_0079
WCR2019_1762,NA,WCR2019_0088
WCR2019_1764,WCR2019_0532,NA
WCR2019_1766,WCR2019_0280,WCR2019_0286
WCR2019_1768,NA,WCR2019_0088
WCR2019_1769,NA,NA
WCR2019_1770,WCR2019_0566,NA
WCR2019_1771,NA,WCR2019_0206
WCR2019_1773,NA,NA
WCR2019_1774,NA,NA
WCR2019_1777,WCR2019_0394,NA
WCR2019_1779,NA,WCR2019_0084
WCR2019_1780,WCR2019_0566,NA
WCR2019_1783,NA,WCR2019_0279
WCR2019_1784,WCR2019_0267,WCR2019_0327
WCR2019_1785,NA,NA
WCR2019_1786,NA,WCR2019_0066
WCR2019_1787,WCR2019_0559,WCR2019_0539
WCR2019_1788,WCR2019_0395,NA
WCR2019_1793,NA,NA
WCR2019_1795,NA,WCR2019_0088
WCR2019_1798,NA,NA
WCR2019_1799,NA,WCR2019_0088
